0.4,109.87,9.84,1.68,128.6,1.68,129.04,42.47,33.59,4288.37,27.45,31.78,204.92,32.27,539.98,12.79,3.95,18.46,129.36,129.41,64.64,597.08,4499.98,66.59,12.05,86.66,12,-19.22,37.17,23.75,49.1,72.85,1.7,63.15,19.25,82.4,16.15,1.45,5.1425
0.4,110,9.84,1.61,127.75,1.61,128.15,42.59,33.79,4235.55,27.33,31.6,204.4,32.14,540,12.67,3.96,18.37,128.54,128.55,65.07,596.25,4499.98,66.69,12.01,86.66,12.02,-19.55,37.16,25,48,73,1.8,61,20.3,81.3,17.5,1.2,4.985
0.4,109.85,9.91,1.65,128.19,1.65,128.64,42.68,33.46,4295.06,27.16,31.42,204.42,32.33,540,12.69,3.96,18.38,129.01,129.03,64.94,593.01,4500.18,66.74,12,85.71,12.02,-19.18,37.13,25.8,49.1,74.9,1.3,63.4,19.9,83.3,15.5,1.2,4.9625
0.4,109.98,9.84,1.82,130.45,1.83,130.87,42.67,33.56,4335.78,28.08,32.27,205.24,32.22,540.01,12.95,3.94,18.74,131.21,131.23,65.48,608.32,4499.95,66.97,12.11,85.23,12.11,-19.83,37.23,26.8,43.3,70.1,2.1,67,16.7,83.7,14.9,1.4,5.155
0.4,109.85,9.84,1.83,130.37,1.83,130.72,42.68,33.52,4375.12,27.95,32.19,205.27,32.2,540.01,12.84,3.94,18.67,131.11,131.14,65.51,608.15,4499.99,66.8,12.06,85.73,12.04,-19.25,37.24,31,42.5,73.5,1.7,64.4,18.6,83,15.8,1.2,5.055
0.4,110,9.82,1.83,130.46,1.83,130.74,42.57,33.89,4270.64,28.35,32.68,204.82,31.96,539.99,12.58,3.95,18.64,131.23,131.23,65.13,612.46,4500.01,66.89,12.04,86.45,12.03,-19.65,37.23,29.2,44.7,73.9,1.5,59.8,21.4,81.2,17.5,1.3,5.07
0.4,109.87,9.87,1.96,131.9,1.96,132.34,42.74,33.14,4291.97,28.98,32.21,205,32.49,539.97,12.63,3.94,18.74,132.71,132.72,65.47,612.02,4499.99,67.13,12.02,85.72,12.04,-19.16,37.22,31.5,43.3,74.8,1.6,65.6,17.5,83.1,15.2,1.7,5.02
0.4,110,9.89,2,132.4,2.01,132.81,42.8,33.3,4323.14,29.22,32.51,205,32.48,540,12.69,3.94,18.8,133.21,133.23,65.53,619.54,4500.14,67.35,12,86.07,12.05,-19.55,37.21,33,44.2,77.2,1.1,65.6,16.7,82.3,16.5,1.2,5.005
0.4,110,9.83,1.92,131.39,1.92,131.81,42.82,33.41,4226.71,29.07,32.33,205.06,32.33,540,12.69,3.94,18.71,132.25,132.25,65.39,615.17,4498.03,67.11,12.01,86.61,12.04,-19.83,37.23,27.3,46.5,73.8,1.4,60.4,20.8,81.2,17.6,1.2,5.105
0.4,109.99,9.82,1.91,131.32,1.91,131.63,42.72,33.4,4266.88,29.08,32.45,204.95,32.21,539.99,12.73,3.94,18.7,132.14,132.15,65.31,613.33,4500.07,66.91,12.02,86.46,12.03,-19.6,37.22,30.4,45.6,76,1.5,68.8,15,83.8,15.2,1,5.185
0.4,110,9.83,1.9,131.22,1.9,131.61,42.74,33.45,4313.14,29.06,32.36,204.95,32.4,539.99,12.75,3.94,18.67,132.05,132.07,65.54,613.94,4500.01,67.07,12.03,86.59,12.03,-19.65,37.23,22.4,49.6,72,2.1,63.5,17.9,81.4,17.5,1.1,5.07
