4.84,0.46,0.58,0.36,0.54,2.46,0.69,1.92,0.09,0.97,0.01,0.65,7.28,0,0,0.19,2.93,0,0.27,0.09,0.68,47.87,24.17,2456.7,9.61,0,0,0.68,0.23,12.51,74.8,2.67,0,0,0,1.77,0.07,1.71,0.45,0,0.07,1.87,5.59,0,3.66,2.94,15.48,0.05,0.29,0,3.02,2340.5
0.51,0,0.55,0.45,0.57,4.39,0.53,2.15,0.21,0.48,0.11,0.76,7.66,0,0,0.3,4.77,0,1.15,0.21,1.62,47.5,79.48,2437.8,5.65,0,0,0.66,0.92,10.28,74.19,2.34,0,0,0,1.32,0.07,9.48,9.36,0,0,1.8,9.29,0,3.4,1.79,15.31,0.1,3.93,0,2.02,2321.4
0,0.49,0.53,0.49,0.66,3.25,0.62,2.44,0.13,0.63,0.1,0.72,7.32,0,0,0.19,6.97,0,0.73,0.13,2.12,47.93,22.69,2416.3,6.66,0,0,0.63,1.55,10.13,74.19,1.93,0,0,0,24.74,0.2,10.88,12.37,0,0,3.17,5.71,0,3.65,1.82,15.63,0.11,3.18,0,46.31,2339.7
0.23,0,0.53,0.42,1.04,9.77,1.26,2.49,0.26,1.15,0.19,0.7,7.04,0,0,0.23,6.62,0,0.74,0.27,1.69,47.86,25.84,2436.5,8.38,0,0,0.63,0.64,10.51,74.19,2.32,0,0,0,1.65,0.07,1.55,5.26,0,0.05,1.75,7.19,0,4.12,2.92,15.79,0.16,5.83,0,2.34,2321.6
0,1.93,0.6,0.41,0.36,4.76,0.59,1.39,0.18,0.49,0.2,0.71,7.55,0,0,0.18,5.05,0,0.58,0.2,0.48,47.93,23.09,2456.5,8.17,0,0,0.69,0.2,11.36,74.19,2.15,0,0,0,1.38,0.07,1.83,0.49,0,0,2.07,4.94,0,2.96,1.3,13.24,0.03,0.2,0,2.22,2301.8
0,0.48,0.54,0.4,1.16,3.95,1.58,4.31,0.24,0.66,0,0.87,7.95,0,0,0.32,4.34,0,0.92,0.24,0.51,47.87,24.38,2456.4,7.67,0,0,0.66,0.37,10.42,74.19,2.22,0,0,0,1.41,0.07,1.5,0.22,0,0,1.49,6.39,0,2.96,1.17,13.75,0.03,0.15,0,5.76,2321.5
1.12,0,0.62,0.42,0.73,3.93,0.77,2.55,0.09,0.97,0.09,0.77,6.92,0,0,0.32,4.22,0,0.61,0.1,0.56,47.87,24.46,2456.2,8.48,0,0,0.74,0.22,11.17,74.19,2.43,0,0,0,1.41,0.07,1.77,0.44,0,0,1.8,4.92,0,3.39,1.69,15.35,0.03,0.19,0,1.69,2301.8
0.33,0,0.48,0.86,1.77,4.74,1.98,6.62,0.25,0.75,0,0.85,10.9,2.73,8.67,0.45,4.64,0,1.67,0.25,0.98,47.92,44.88,2454.7,5.69,0,0,0.58,0.74,12.48,74.8,2.38,0,0,0,1.83,0.06,2.03,4.51,0,0,1.84,7.09,0,3.15,2.36,13.25,0.09,5.93,0,1.72,2301.9
0,0.56,0.57,1.34,0.74,31.35,12.69,2.6,2.86,0.61,0.05,0.68,7.82,2.73,8.65,0.28,31.11,0,0.92,2.86,1.11,48.19,24.67,2452.8,7.45,0,0,0.66,0.28,5.14,74.07,0.64,0,0,0,1.11,0.07,2,0.58,0,0,1.8,4.79,0,2.99,0.47,13.02,0.02,0.07,0,1.73,2317.4
0.36,0,0.59,0.41,0.58,2.29,0.74,2.14,0.14,1.01,0.06,0.84,7.56,0,0,0.47,2.38,0,0.92,0.13,1.35,47.83,38.34,2431.6,8.68,0,0,0.69,0.27,7.54,74.2,1.1,0,0,0,1.16,0.07,1.9,0.45,0,0,2.03,4.44,0,1.94,0.73,8.31,0.02,0.11,0,2.22,2321.1
0.23,0,0.6,0.47,0.67,3.9,1.37,2.45,0.24,0.8,0.01,0.5,7.9,2.86,8.73,0.15,3.82,0,0.51,0.24,1.61,47.91,39.55,2437.3,8.47,0,0,0.74,0.22,9.13,74.2,1.53,0,0,0,1.35,0.07,1.78,0.46,0,0,1.81,5,0,2.9,1.09,12.62,0.03,0.15,0,1.78,2321.1
0,0.38,0.64,0.53,1.85,3.94,2.76,6.96,0.24,0.81,0.09,0.74,8,2.87,8.73,0.19,3.91,0,0.63,0.24,1.28,47.79,40.46,2431,7.02,0,0,0.74,0.34,10.29,74.19,1.98,0,0,0,1.44,0.07,1.85,0.48,0,0,1.72,6.03,0,3.51,1.82,15.41,0.04,0.1,0,1.94,2321
0,2.39,0.56,0.38,1.52,2.26,1.33,5.55,0.09,0.78,0.03,0.83,6.94,0,0,0.35,2.5,0,0.57,0.11,0.97,47.85,30.06,2436.3,8.92,0,0,0.68,0.26,10.87,74.19,2.39,0,0,0,1.44,0.07,1.53,0.46,0,0,1.62,5.21,0,3.27,1.51,14.73,0.03,0.2,0,2.15,2320.9
0.81,0,0.62,0.49,1.14,4.5,1.09,4.31,0.16,0.48,0.18,0.73,7.32,0,0,0.12,4.95,0,0.43,0.16,0.51,47.85,24.64,2456.3,7,0,0,0.72,0.78,14.22,74.78,3.81,0,0,0,1.77,0.07,6.81,9.75,0,0,1.76,7.85,0,3.08,2.9,13.09,0.06,10.31,0,3.27,2321.2
0,0.55,0.6,0.39,0.52,14.69,6.1,1.75,1.39,0.28,0,0.72,7.86,1.42,4.87,0.19,15.05,0,0.58,1.39,0.55,47.85,24.62,2456.3,8.62,0,0,0.68,0.25,11.7,74.8,2.23,0,0,0,1.98,0.07,1.93,0.53,0,0,1.84,4.85,0,3.18,1.81,13.93,0.03,0.21,0,2.16,2321
0.26,0,0.67,0.54,0.44,9.34,0.59,1.77,0.21,0.53,0.01,0.62,8.36,0,0,0.19,9.04,0,0.77,0.21,0.93,47.92,23.43,2456.7,4.2,0,0,0.7,0.72,14.66,74.78,3.8,0,0,0,1.82,0.06,12.21,13.02,0,0,1.81,7.32,0,3.57,5.49,14.97,0.13,9.86,0,1.99,2321.3
0.56,0,0.53,0.39,1.27,12.43,1.26,4.85,0,0.53,0.1,0.84,7.73,0,0,0.35,12.34,0,1.4,0.23,0.55,47.87,24.63,2456.5,7.45,0,0,0.65,0.57,12.11,74.8,2.78,0,0,0,1.67,0.06,2.72,5.88,0,0,1.86,7.02,0,3.38,2.42,14.64,0.09,6.26,0,48.52,2301.5
1.53,0,0.51,0.44,0.53,8.29,2.91,1.9,0.24,0.5,0.11,0.88,9.41,0,0,0.26,6.25,0,0.85,0.24,0.48,47.9,23.82,2456.5,1.13,0,0,0.62,0.65,11.99,74.18,2.36,0,0,0,1.82,0.07,3.39,6.22,0,0,1.96,6.47,0,3.31,2.45,14.02,0.1,5.06,0,13.65,2320.9
0.49,0,0.55,0.43,1.13,6.85,1.96,4.22,0.24,0.91,0.05,0.62,10.74,0,0,0.45,6.7,0,1.72,0.24,1.33,47.72,62.39,2456.8,6.22,0,0,0.66,0.6,14.32,74.78,3.54,0,0,0,1.76,0.06,5.81,7.34,0,0,1.78,7.19,0,3.19,4.33,13.43,0.1,10.19,0,27.99,2321.5
0,0.29,0.61,0.47,1.08,2.41,1.34,3.99,0.16,1.04,0.01,0.58,7.67,0,0,0.42,2.51,0,0.84,0.16,0.94,47.61,38.37,2443.2,8.5,0,0,0.69,0.38,11.45,74.8,2.09,0,0,0,1.37,0.06,1.99,0.48,0,0,1.79,4.9,0,3.16,1.71,13.81,0.03,0.22,0,2.57,2301.9
0,0.44,0.63,0.46,0.48,1.82,0.51,1.31,0.13,0.85,0.01,0.81,7.52,0,0,0.33,1.93,0,0,0.13,3.12,47.55,146.94,2438.7,0.94,0,0,0.76,0.37,13.95,74.78,3,0,0,0,1.65,0.07,1.94,0.46,0,0,1.88,5.23,0,2.8,1.88,12.48,0.03,0.31,0,2.42,2339.8
0,0.89,0.56,0.48,0.5,6.09,2.9,1.87,0.24,0.67,0.19,0.57,7.95,3,8.73,0.16,6.09,0,0.54,0.24,0.48,47.92,24.06,2458.1,1.43,0,0,0.65,0.15,5.7,74.26,0.73,0,0,0,1.32,0.07,2.07,0.44,0,0,2.18,4.79,0,1.42,0.51,6.15,0.02,0.09,0,1.72,2323
0,0.41,0.57,0.36,0.45,2.89,1.01,1.66,0.24,0.67,0.08,0.65,8.19,2.79,8.66,0.21,2.88,0,0.71,0.24,2.05,47.89,23.83,2436.1,6.91,0,0,0.69,0.49,10.55,74.19,1.91,0,0,0,1.41,0.07,1.95,0.28,0,0,1.69,6.59,0,3.15,1.5,13.74,0.03,0.18,0,1.89,2320.9
0.41,0,0.64,0.42,0.51,3.33,1.05,1.8,0.25,0.95,0.09,0.72,8.21,2.82,8.66,0.3,3.45,0,0.85,0.25,1.15,47.88,24.22,2436.1,5.97,0,0,0.72,0.28,11.56,74.18,2.19,0,0,0,1.51,0.07,1.74,0.48,0,0,2.03,5.28,0,3.16,1.78,13.75,0.03,0.22,0,2.62,2321.2
0.32,0,0.57,0.53,1.2,6.53,1.3,4.49,0.19,0.81,0.07,0.77,10.47,2.83,8.66,0.22,5.31,0,0.57,0.19,1.77,47.97,22.09,2416.6,7.67,0,0,0.63,0.7,12.97,74.79,2.72,0,0,0,1.76,0.07,4.7,6.28,0,0,1.85,7.33,0,3.42,3.12,14.43,0.11,6.98,0,37.69,2321.2
0.55,0,0.57,0.4,0.71,1.93,0.81,2.65,0.19,0.85,0.05,0.51,7.69,2.73,8.67,0.12,1.9,0,0.25,0.17,1.05,47.63,44.37,2443.1,9.3,0,0,0.71,0.32,9.86,74.2,1.92,0,0,0,1.37,0.07,1.97,0.64,0,0,1.88,4.89,0,3.23,1.44,14.35,0.04,0.18,0,7.39,2340.3
0,0.55,0.58,0.56,2.58,3.12,3.7,9.68,0.17,0.81,0.14,0.59,7.04,5.27,8.18,0.15,3.12,0,0.29,0.17,0.88,47.67,44,2426.1,7.8,0,0,0.66,0.22,10.96,74.19,2.21,0,0,0,1.48,0.07,2.08,0.61,0,0,2.05,4.94,0,3.4,1.85,15.2,0.06,0.27,0,2.24,2321.3
0.71,0,0.6,0.43,2.68,5.94,3.09,10.01,0.13,1.38,0.14,0.74,10.83,2.82,8.66,0.39,4.24,0,1.08,0.13,2.02,47.95,21.99,2436.4,0.97,0,0,0.68,0.74,11.41,74.19,1.98,0,0,0,1.51,0.06,3.93,11.11,0,0,1.82,7.64,0,3.13,1.87,13.12,0.08,4.82,0,2.48,2302.2
0,1.68,0.66,0.43,0.48,2.38,0.42,1.62,0.15,1.22,0.06,0.76,9.92,2.78,8.59,0.39,2.33,0,0.81,0.15,0.46,47.54,22.74,2436.3,6.65,0,0,0.77,0.48,10.43,74.19,1.95,0,0,0,1.34,0.07,1.51,0.38,0,0,1.82,5.69,0,3.55,2.07,15.7,0.04,0.19,0,2,2321.5
0,0.48,0.65,0.43,1.18,4.76,1.98,4.4,0.23,0.51,0.03,0.57,7.68,2.93,8.66,0.1,4.68,0,0.36,0.23,0.49,47.88,24.28,2456.3,7.58,0,0,0.76,0.33,13.7,74.78,3.34,0,0,0,1.51,0.06,1.75,0.57,0,0,1.83,4.73,0,3.3,2.94,14.65,0.04,0.3,0,27.7,2340.2
1.69,0,0.58,0.47,0.45,6.87,0.43,1.8,0.22,0.78,0.06,0.51,9.44,2.83,8.66,0.14,6.64,0,0.49,0.21,1.58,47.93,22.94,2415.8,6.87,0,0,0.7,0.51,14.76,74.77,3.94,0,0,0,1.84,0.06,1.48,4.39,0,0,1.82,7.45,0,3.53,5.45,14.95,0.11,9.81,0,1.86,2321
0.3,0,0.56,0.42,0.53,0.1,0.22,1.42,0.11,0.29,0.1,0.41,7.88,2.45,0,0.43,0.11,0,1.02,0.13,1.36,47.54,67.82,2441.5,5.77,0,0,0.64,0.34,12.37,74.8,2.24,0,0,0,1.68,0.07,1.64,0.41,0,0,1.7,5.46,0,2.96,1.86,13.36,0.03,0.19,0,3.41,2321.5
2.53,0,0.62,0.33,0.49,0.29,0.2,1.41,0.1,0.46,0.1,0.74,8.51,2.58,8.6,0.3,0.3,0,0.86,0.1,1.06,47.66,52.84,2446.1,8.53,0,0,0.69,0.29,9.47,74.19,1.18,0,0,0,0,0.08,2.09,0.5,0,0,1.86,4.8,0,1.47,0.86,6.52,0.02,0.13,0,2.12,2321.1
0,0.4,0.54,0.43,0.52,4.22,1.28,1.85,0.24,0.87,0.12,0.75,9,2.89,8.66,0.2,4.19,0,0.65,0.24,1.13,47.88,24.13,2436.1,9.15,0,0,0.64,0.27,9.41,74.19,1.32,0,0,0,1.27,0.07,1.62,0.45,0,0,1.92,4.76,0,1.94,0.93,8.39,0.03,0.15,0,1.93,2321.3
0,0.45,0.61,0.48,2.56,3.91,3.14,9.58,0.23,0.36,0.05,0.6,7.57,2.73,8.67,0.13,3.8,0,0.48,0.22,1,47.26,292.45,2446.9,8.06,0,0,0.63,0.32,11.34,74.19,2.25,0,0,0,1.66,0.07,1.53,2.41,0,0,1.58,6.07,0,3.52,2.28,15.77,0.04,1.65,0,1.73,2302.1
0.51,0,0.67,0.42,0.35,3.14,0.24,1.06,0.17,1.13,0.04,0.49,7.38,2.88,8.66,0.24,6.14,0,0.62,0.17,1.59,47.88,24.86,2436.2,6.34,0,0,0.77,0.64,7.33,74.38,1.26,0,0,0,2.78,0.1,4.74,8.68,0,0,2.11,10.79,0,4.39,1.88,19.03,0.08,0.24,0,2,2316.7
0.59,0,0.56,0.54,0.32,3.58,0.21,1.08,0.24,0.61,0.04,0.6,7.56,2.86,8.66,0.15,3.52,0,0.5,0.24,1.8,47.86,24.32,2436.6,5.31,0,0,0.63,0.53,8.13,74.2,1.16,0,0,0,1.69,0.07,1.62,5.68,0,0,1.85,7.18,0,3.11,0.99,13.02,0.08,1.28,0,3.64,2321.1
0.57,0,0.6,0.51,0.5,6.08,2.87,1.87,0.24,0.62,0.05,0.8,8.55,3,8.73,0.12,6.06,0,0.42,0.23,2.11,48.24,72.64,2453.5,6.49,0,0,0.67,0.33,6.76,74.2,0.88,0,0,0,1.29,0.07,1.42,0.41,0,0,1.69,5.11,0,1.38,0.62,5.78,0.05,0.25,0,2.38,2321.2
